price,weight,trust_level,data_as_of,staleness_days
2120.0,1.1800484885591763e-07,極高 (Very High),2026-07-14,1
2135.0,3.839762741919362e-07,極高 (Very High),2026-07-14,1
2140.0,6.112696561464714e-07,極高 (Very High),2026-07-14,1
2145.0,3.4920579165169166e-07,極高 (Very High),2026-07-14,1
2155.0,1.6225971594227568e-07,極高 (Very High),2026-07-14,1
2165.0,1.5221143861531566e-07,極高 (Very High),2026-07-14,1
2175.0,1.7052379171078651e-07,極高 (Very High),2026-07-14,1
2180.0,1.0290741870976405e-07,極高 (Very High),2026-07-14,1
2185.0,1.9115901552715765e-07,極高 (Very High),2026-07-14,1
2215.0,3.3669482992543694e-07,極高 (Very High),2026-07-14,1
2220.0,1.9347391313413842e-07,極高 (Very High),2026-07-14,1
2240.0,1.390256535252731e-07,極高 (Very High),2026-07-14,1
2255.0,3.8953218097516933e-07,極高 (Very High),2026-07-14,1
2270.0,4.5674298257460874e-07,極高 (Very High),2026-07-14,1
2275.0,4.2932342689370846e-07,極高 (Very High),2026-07-14,1
2285.0,3.52365625751085e-07,極高 (Very High),2026-07-14,1
2315.0,4.1126408382857715e-05,極高 (Very High),2026-07-14,1
2320.0,6.944263239196554e-05,極高 (Very High),2026-07-14,1
2325.0,1.415401966135398e-07,極高 (Very High),2026-07-14,1
2330.0,1.6838032083273964e-07,極高 (Very High),2026-07-14,1
2340.0,0.00013646821762220695,極高 (Very High),2026-07-14,1
2345.0,1.3330515951843552e-07,極高 (Very High),2026-07-14,1
2350.0,1.194184585327551e-07,極高 (Very High),2026-07-14,1
2355.0,1.314833643566072e-07,極高 (Very High),2026-07-14,1
2360.0,1.1243128237462232e-07,極高 (Very High),2026-07-14,1
2365.0,1.975403737474971e-07,極高 (Very High),2026-07-14,1
2370.0,1.9425931364765348e-07,極高 (Very High),2026-07-14,1
2395.0,2.063520855057286e-07,極高 (Very High),2026-07-14,1
2400.0,1.6614568326078966e-07,極高 (Very High),2026-07-14,1
2405.0,4.5217648699448606e-07,極高 (Very High),2026-07-14,1
2420.0,4.3102488454197735e-07,極高 (Very High),2026-07-14,1
2430.0,4.963895949626096e-07,極高 (Very High),2026-07-14,1
2435.0,6.675298850685183e-05,極高 (Very High),2026-07-14,1
2450.0,3.656041658172567e-07,極高 (Very High),2026-07-14,1
2455.0,7.134679284023083e-07,極高 (Very High),2026-07-14,1
2460.0,1.1466573128990029e-07,極高 (Very High),2026-07-14,1
2470.0,1.5301458780930034e-07,極高 (Very High),2026-07-14,1
2475.0,1.3040064613604134e-07,極高 (Very High),2026-07-14,1
2480.0,5.249659983081346e-07,極高 (Very High),2026-07-14,1
2485.0,5.726062502635599e-07,極高 (Very High),2026-07-14,1
2490.0,1.1002015712552923e-07,極高 (Very High),2026-07-14,1
2495.0,4.258755981385243e-05,極高 (Very High),2026-07-14,1
2510.0,0.00016759627473559143,極高 (Very High),2026-07-14,1
2515.0,0.00010400111666903658,極高 (Very High),2026-07-14,1
2520.0,1.2103703390932183e-07,極高 (Very High),2026-07-14,1
2525.0,7.922624570742238e-05,極高 (Very High),2026-07-14,1
2530.0,3.3291888041927514e-05,極高 (Very High),2026-07-14,1
2535.0,0.00020552603562812386,極高 (Very High),2026-07-14,1
2545.0,1.870437659026573e-07,極高 (Very High),2026-07-14,1
2550.0,4.439255851917536e-07,極高 (Very High),2026-07-14,1
2555.0,5.090755214490978e-07,極高 (Very High),2026-07-14,1
2560.0,2.9281270298609975e-05,極高 (Very High),2026-07-14,1
2565.0,3.822704401795495e-07,極高 (Very High),2026-07-14,1
2570.0,3.8976380040595567e-07,極高 (Very High),2026-07-14,1
2580.0,6.198077831304904e-07,極高 (Very High),2026-07-14,1
2585.0,6.270369293557369e-07,極高 (Very High),2026-07-14,1
2590.0,6.053923058270795e-07,極高 (Very High),2026-07-14,1
2595.0,5.642894630947851e-07,極高 (Very High),2026-07-14,1
2600.0,5.223759278458861e-07,極高 (Very High),2026-07-14,1
2605.0,5.043823075498168e-07,極高 (Very High),2026-07-14,1
2610.0,8.289044227752175e-07,極高 (Very High),2026-07-14,1
2615.0,7.113384345633408e-07,極高 (Very High),2026-07-14,1
2620.0,1.6959350421685973e-07,極高 (Very High),2026-07-14,1
2625.0,2.1891383769559517e-07,極高 (Very High),2026-07-14,1
2630.0,1.111166896489897e-06,極高 (Very High),2026-07-14,1
2635.0,5.711551339589199e-07,極高 (Very High),2026-07-14,1
2640.0,0.00022472439524548167,極高 (Very High),2026-07-14,1
2645.0,9.426306859147756e-07,極高 (Very High),2026-07-14,1
2650.0,1.338557649149213e-06,極高 (Very High),2026-07-14,1
2655.0,4.124476779491853e-07,極高 (Very High),2026-07-14,1
2660.0,9.355896320373033e-05,極高 (Very High),2026-07-14,1
2665.0,8.195829503856783e-05,極高 (Very High),2026-07-14,1
2670.0,1.838656702762406e-06,極高 (Very High),2026-07-14,1
2675.0,3.1498393696562717e-06,極高 (Very High),2026-07-14,1
2680.0,4.495543100909339e-05,極高 (Very High),2026-07-14,1
2685.0,7.563005525555862e-07,極高 (Very High),2026-07-14,1
2690.0,1.0640905380432255e-06,極高 (Very High),2026-07-14,1
2695.0,1.4575010396536239e-06,極高 (Very High),2026-07-14,1
2700.0,8.552479126913676e-07,極高 (Very High),2026-07-14,1
2705.0,1.9202141548335106e-06,極高 (Very High),2026-07-14,1
2710.0,3.866338788347191e-06,極高 (Very High),2026-07-14,1
2715.0,3.601086071826452e-06,極高 (Very High),2026-07-14,1
2720.0,3.6183070157548125e-06,極高 (Very High),2026-07-14,1
2725.0,1.2116114647672613e-06,極高 (Very High),2026-07-14,1
2730.0,6.1395023245233476e-06,極高 (Very High),2026-07-14,1
2735.0,3.5550314040054878e-06,極高 (Very High),2026-07-14,1
2740.0,7.09988245678904e-06,極高 (Very High),2026-07-14,1
2745.0,4.816986344755105e-06,極高 (Very High),2026-07-14,1
2750.0,2.075524343991635e-06,極高 (Very High),2026-07-14,1
2755.0,9.103026122716623e-05,極高 (Very High),2026-07-14,1
2760.0,9.634122510982993e-07,極高 (Very High),2026-07-14,1
2765.0,1.4403796064699014e-06,極高 (Very High),2026-07-14,1
2770.0,6.759850031855521e-05,極高 (Very High),2026-07-14,1
2775.0,3.003604797975361e-05,極高 (Very High),2026-07-14,1
2780.0,5.0271659497046424e-05,極高 (Very High),2026-07-14,1
2785.0,2.288960460676282e-06,極高 (Very High),2026-07-14,1
2790.0,1.7443476161568225e-06,極高 (Very High),2026-07-14,1
2795.0,0.00010536004828729655,極高 (Very High),2026-07-14,1
2800.0,1.9644806290476112e-06,極高 (Very High),2026-07-14,1
2805.0,4.195290431461452e-05,極高 (Very High),2026-07-14,1
2810.0,1.0126177548734274e-06,極高 (Very High),2026-07-14,1
2815.0,1.9321065045709718e-06,極高 (Very High),2026-07-14,1
2820.0,2.817852886187336e-05,極高 (Very High),2026-07-14,1
2825.0,0.00012398905211734283,極高 (Very High),2026-07-14,1
2830.0,2.952407972243004e-06,極高 (Very High),2026-07-14,1
2835.0,5.074142428945554e-05,極高 (Very High),2026-07-14,1
2840.0,0.00019488703003055409,極高 (Very High),2026-07-14,1
2845.0,8.681001350491557e-05,極高 (Very High),2026-07-14,1
