price,weight,trust_level,data_as_of,staleness_days
37.5,0.00017121768632801055,高 (High),2026-07-14,1
38.5,0.0018085388115439897,高 (High),2026-07-14,1
39.0,0.0044963250114447495,高 (High),2026-07-14,1
39.5,0.0035185653347945462,高 (High),2026-07-14,1
40.0,0.004627507691291841,高 (High),2026-07-14,1
40.5,0.0030643039420675763,高 (High),2026-07-14,1
41.0,0.0003246166124809803,高 (High),2026-07-14,1
41.5,0.00420464809714682,高 (High),2026-07-14,1
42.0,0.0034447468411415143,高 (High),2026-07-14,1
42.5,0.0038470102735490247,高 (High),2026-07-14,1
43.0,0.009553849815757435,高 (High),2026-07-14,1
43.5,0.010185475158695476,高 (High),2026-07-14,1
44.0,0.00807017901730188,高 (High),2026-07-14,1
44.5,0.0020335750998461653,高 (High),2026-07-14,1
45.0,0.007910116663779975,高 (High),2026-07-14,1
45.5,0.008180083544787685,高 (High),2026-07-14,1
46.0,0.008676657630280025,高 (High),2026-07-14,1
46.5,0.011014690976753163,高 (High),2026-07-14,1
47.0,0.00951532759029407,高 (High),2026-07-14,1
47.5,0.00410733314130037,高 (High),2026-07-14,1
48.0,0.008183867015212154,高 (High),2026-07-14,1
48.5,0.007024005551785746,高 (High),2026-07-14,1
49.0,0.005374347229129199,高 (High),2026-07-14,1
49.5,0.006373027568661245,高 (High),2026-07-14,1
50.0,0.0045532214104370755,高 (High),2026-07-14,1
50.5,0.008504138649701674,高 (High),2026-07-14,1
51.0,0.004241161538409734,高 (High),2026-07-14,1
51.5,0.009995979912736168,高 (High),2026-07-14,1
52.0,0.01251328594047819,高 (High),2026-07-14,1
52.5,0.012647585289300335,高 (High),2026-07-14,1
53.0,0.17847632551865208,高 (High),2026-07-14,1
53.5,0.0062387156329433,高 (High),2026-07-14,1
54.0,0.005961308950318076,高 (High),2026-07-14,1
54.5,0.009892125181779414,高 (High),2026-07-14,1
55.0,0.01150178279237162,高 (High),2026-07-14,1
55.5,0.014500119686053635,高 (High),2026-07-14,1
56.0,0.02318069513213704,高 (High),2026-07-14,1
56.5,0.011996089462573144,高 (High),2026-07-14,1
57.0,0.012974677358639133,高 (High),2026-07-14,1
57.5,0.006975981619335306,高 (High),2026-07-14,1
58.0,0.006444382991466506,高 (High),2026-07-14,1
58.5,0.011006880812749371,高 (High),2026-07-14,1
59.0,0.0048996194394469094,高 (High),2026-07-14,1
59.5,0.0141113850926874,高 (High),2026-07-14,1
60.0,0.005823079970319313,高 (High),2026-07-14,1
60.5,0.005569994117812732,高 (High),2026-07-14,1
61.0,0.007669813159672525,高 (High),2026-07-14,1
61.5,0.006222577677302498,高 (High),2026-07-14,1
62.0,0.002578869645365327,高 (High),2026-07-14,1
62.5,0.005398223956743156,高 (High),2026-07-14,1
63.0,0.005315722963279449,高 (High),2026-07-14,1
63.5,0.007462188043776832,高 (High),2026-07-14,1
64.0,0.007050783721240453,高 (High),2026-07-14,1
64.5,0.00862962765171004,高 (High),2026-07-14,1
65.0,0.004269747445381157,高 (High),2026-07-14,1
65.5,0.0033418481602991777,高 (High),2026-07-14,1
66.0,0.006097455369340649,高 (High),2026-07-14,1
66.5,0.006913692333742984,高 (High),2026-07-14,1
67.0,0.006488949614567315,高 (High),2026-07-14,1
67.5,0.0034145218613828615,高 (High),2026-07-14,1
68.0,0.009555960507210342,高 (High),2026-07-14,1
68.5,0.008532014974398124,高 (High),2026-07-14,1
69.0,0.008011526514958957,高 (High),2026-07-14,1
69.5,0.005942182620994186,高 (High),2026-07-14,1
70.0,0.006235643778072531,高 (High),2026-07-14,1
70.5,0.0014382521390249627,高 (High),2026-07-14,1
71.0,0.005029218491890589,高 (High),2026-07-14,1
71.5,0.004379906017594387,高 (High),2026-07-14,1
72.0,0.005211186906259345,高 (High),2026-07-14,1
72.5,0.005277361299605989,高 (High),2026-07-14,1
73.0,0.005734128121424384,高 (High),2026-07-14,1
73.5,0.005163940994139897,高 (High),2026-07-14,1
74.0,0.0028269100827955566,高 (High),2026-07-14,1
74.5,0.007525286763355644,高 (High),2026-07-14,1
75.0,0.005251808544648455,高 (High),2026-07-14,1
75.5,0.002446609986689151,高 (High),2026-07-14,1
76.0,0.0010722899079785551,高 (High),2026-07-14,1
76.5,0.0021037092752203322,高 (High),2026-07-14,1
77.0,0.008534590483139695,高 (High),2026-07-14,1
77.5,0.00025460127310257866,高 (High),2026-07-14,1
78.0,0.0025434171807784778,高 (High),2026-07-14,1
78.5,0.00279283141974688,高 (High),2026-07-14,1
79.0,0.0031915905444094106,高 (High),2026-07-14,1
79.5,0.005111093132906228,高 (High),2026-07-14,1
80.0,0.006309553012586921,高 (High),2026-07-14,1
80.5,0.003089882818470236,高 (High),2026-07-14,1
81.0,0.004862360963767731,高 (High),2026-07-14,1
81.5,0.0038495598965326734,高 (High),2026-07-14,1
82.0,0.004129012033340912,高 (High),2026-07-14,1
82.5,0.0035037097746291107,高 (High),2026-07-14,1
83.0,0.001703320262701664,高 (High),2026-07-14,1
83.5,0.003414469175122218,高 (High),2026-07-14,1
84.0,0.003242295490342952,高 (High),2026-07-14,1
84.5,0.005115800728342689,高 (High),2026-07-14,1
85.0,0.0023079376188287733,高 (High),2026-07-14,1
85.5,0.002429238381938905,高 (High),2026-07-14,1
86.0,0.003974181067478919,高 (High),2026-07-14,1
86.5,0.0031027736893679833,高 (High),2026-07-14,1
87.0,0.004609370712991036,高 (High),2026-07-14,1
87.5,0.005571835014670691,高 (High),2026-07-14,1
88.0,0.0053263021415883155,高 (High),2026-07-14,1
88.5,0.006398703944812306,高 (High),2026-07-14,1
89.0,0.0041439274709704895,高 (High),2026-07-14,1
89.5,0.0022584374861981667,高 (High),2026-07-14,1
90.0,0.002427742217038873,高 (High),2026-07-14,1
90.5,0.0017841488618993205,高 (High),2026-07-14,1
91.0,0.002538862805247108,高 (High),2026-07-14,1
91.5,0.0032441130257665042,高 (High),2026-07-14,1
92.0,0.0019701204527751218,高 (High),2026-07-14,1
92.5,0.0031297848219655933,高 (High),2026-07-14,1
93.0,0.0013755152471920456,高 (High),2026-07-14,1
93.5,0.0023103813077819946,高 (High),2026-07-14,1
94.0,0.004246005647180829,高 (High),2026-07-14,1
94.5,0.003384302155597228,高 (High),2026-07-14,1
95.0,0.004191468095327798,高 (High),2026-07-14,1
95.5,0.0036777322582899038,高 (High),2026-07-14,1
96.0,0.002799782455904251,高 (High),2026-07-14,1
96.5,0.002127920600288281,高 (High),2026-07-14,1
97.0,0.0014369805607023396,高 (High),2026-07-14,1
97.5,0.0029189394843941244,高 (High),2026-07-14,1
98.0,0.00434526357856098,高 (High),2026-07-14,1
98.5,0.003203506694271485,高 (High),2026-07-14,1
99.0,0.0038741109456856197,高 (High),2026-07-14,1
99.5,0.004300425333154344,高 (High),2026-07-14,1
100.0,0.0030823608187115457,高 (High),2026-07-14,1
100.5,0.0018998225955510278,高 (High),2026-07-14,1
101.0,0.0029260276740791565,高 (High),2026-07-14,1
101.5,0.002497336841873991,高 (High),2026-07-14,1
102.0,0.004520626155787254,高 (High),2026-07-14,1
102.5,0.00244720803872295,高 (High),2026-07-14,1
103.0,0.0026211970043841177,高 (High),2026-07-14,1
103.5,0.0005833758274649954,高 (High),2026-07-14,1
