price,weight,trust_level,data_as_of,staleness_days
64.3,1.50511606672279e-07,極高 (Very High),2026-07-14,1
64.4,1.341273726367111e-07,極高 (Very High),2026-07-14,1
64.60000000000001,1.3663681221067717e-07,極高 (Very High),2026-07-14,1
64.9,1.5008351480775745e-07,極高 (Very High),2026-07-14,1
65.2,1.3999759667496275e-07,極高 (Very High),2026-07-14,1
65.3,1.1865148895774578e-07,極高 (Very High),2026-07-14,1
65.4,1.6186967759269248e-07,極高 (Very High),2026-07-14,1
65.5,1.5002690946717714e-07,極高 (Very High),2026-07-14,1
65.60000000000001,1.2155362838123124e-07,極高 (Very High),2026-07-14,1
65.8,1.728316961829816e-07,極高 (Very High),2026-07-14,1
65.9,1.1304214958680059e-07,極高 (Very High),2026-07-14,1
66.10000000000001,1.5325958214001828e-07,極高 (Very High),2026-07-14,1
66.3,1.3434413442284455e-07,極高 (Very High),2026-07-14,1
66.4,1.311060652898173e-07,極高 (Very High),2026-07-14,1
66.8,1.264854518010054e-07,極高 (Very High),2026-07-14,1
68.10000000000001,1.0634658882283711e-07,極高 (Very High),2026-07-14,1
68.2,1.1580028636161358e-07,極高 (Very High),2026-07-14,1
68.8,1.8392798100784227e-07,極高 (Very High),2026-07-14,1
69.4,1.2538171412824452e-07,極高 (Very High),2026-07-14,1
69.5,1.2371925710688193e-07,極高 (Very High),2026-07-14,1
69.7,3.1008508541918814e-07,極高 (Very High),2026-07-14,1
69.8,1.3526271226074085e-07,極高 (Very High),2026-07-14,1
69.9,5.443522984914448e-07,極高 (Very High),2026-07-14,1
70.0,2.3161063876111123e-07,極高 (Very High),2026-07-14,1
70.9,2.1629247706947348e-07,極高 (Very High),2026-07-14,1
71.0,1.5362112052418868e-07,極高 (Very High),2026-07-14,1
71.2,1.0442178974647995e-07,極高 (Very High),2026-07-14,1
71.3,4.6229279764816706e-07,極高 (Very High),2026-07-14,1
71.4,2.1887658522102148e-07,極高 (Very High),2026-07-14,1
71.5,2.1960525000260758e-07,極高 (Very High),2026-07-14,1
71.7,1.546308805994529e-07,極高 (Very High),2026-07-14,1
71.9,1.8844177260211364e-07,極高 (Very High),2026-07-14,1
72.0,2.878428743275294e-07,極高 (Very High),2026-07-14,1
72.10000000000001,5.338703612129405e-07,極高 (Very High),2026-07-14,1
72.2,1.6045120169720846e-07,極高 (Very High),2026-07-14,1
72.3,1.261886182704174e-07,極高 (Very High),2026-07-14,1
72.4,1.1080880810796326e-07,極高 (Very High),2026-07-14,1
72.5,7.296720641244833e-07,極高 (Very High),2026-07-14,1
72.60000000000001,2.630052906555556e-07,極高 (Very High),2026-07-14,1
72.7,3.26963876636656e-07,極高 (Very High),2026-07-14,1
72.8,1.4014466485089657e-07,極高 (Very High),2026-07-14,1
72.9,3.251491114305046e-07,極高 (Very High),2026-07-14,1
73.10000000000001,1.94835857229802e-07,極高 (Very High),2026-07-14,1
73.2,1.1273293750724476e-07,極高 (Very High),2026-07-14,1
73.3,2.5348864055148676e-07,極高 (Very High),2026-07-14,1
73.4,3.3082292356035174e-07,極高 (Very High),2026-07-14,1
73.5,1.9859492232217183e-07,極高 (Very High),2026-07-14,1
73.60000000000001,5.170847565175824e-07,極高 (Very High),2026-07-14,1
73.7,3.166583653316656e-07,極高 (Very High),2026-07-14,1
73.8,8.600457027607581e-07,極高 (Very High),2026-07-14,1
74.0,1.0963324066610176e-07,極高 (Very High),2026-07-14,1
74.2,1.989470167324267e-07,極高 (Very High),2026-07-14,1
74.4,8.793747081324557e-07,極高 (Very High),2026-07-14,1
74.60000000000001,1.533309761342298e-07,極高 (Very High),2026-07-14,1
74.7,1.3720499793363672e-07,極高 (Very High),2026-07-14,1
75.10000000000001,1.9428332281070937e-07,極高 (Very High),2026-07-14,1
75.2,2.1205374219907862e-07,極高 (Very High),2026-07-14,1
75.3,1.3896757849929028e-07,極高 (Very High),2026-07-14,1
75.4,2.566598808323585e-07,極高 (Very High),2026-07-14,1
75.60000000000001,6.548866034298479e-07,極高 (Very High),2026-07-14,1
75.7,1.591337636536527e-07,極高 (Very High),2026-07-14,1
75.9,1.283488865400667e-07,極高 (Very High),2026-07-14,1
76.0,5.554386975390909e-07,極高 (Very High),2026-07-14,1
76.10000000000001,9.347114398603007e-07,極高 (Very High),2026-07-14,1
76.2,1.2110484613015002e-07,極高 (Very High),2026-07-14,1
76.3,1.9911594999625362e-07,極高 (Very High),2026-07-14,1
76.4,6.282272742924945e-07,極高 (Very High),2026-07-14,1
76.7,1.0543699957346817e-07,極高 (Very High),2026-07-14,1
77.0,7.209251396569998e-07,極高 (Very High),2026-07-14,1
77.10000000000001,5.581701360956108e-07,極高 (Very High),2026-07-14,1
77.2,1.0553913741009009e-07,極高 (Very High),2026-07-14,1
77.30000000000001,2.0430246014535506e-07,極高 (Very High),2026-07-14,1
77.4,2.885199375084304e-07,極高 (Very High),2026-07-14,1
77.5,4.3979788164495227e-07,極高 (Very High),2026-07-14,1
77.60000000000001,3.0094797280548885e-07,極高 (Very High),2026-07-14,1
77.7,2.8327237144999784e-07,極高 (Very High),2026-07-14,1
78.0,2.0287214425565155e-07,極高 (Very High),2026-07-14,1
78.10000000000001,2.1259665776144083e-07,極高 (Very High),2026-07-14,1
78.2,1.7510659970560135e-07,極高 (Very High),2026-07-14,1
78.30000000000001,2.591009007625433e-07,極高 (Very High),2026-07-14,1
78.5,2.0885019572892952e-07,極高 (Very High),2026-07-14,1
78.80000000000001,1.606434525414095e-07,極高 (Very High),2026-07-14,1
79.0,3.2708701731208916e-07,極高 (Very High),2026-07-14,1
79.5,1.4604395514316612e-06,極高 (Very High),2026-07-14,1
79.9,4.975656024090231e-07,極高 (Very High),2026-07-14,1
80.0,2.2822245360550377e-07,極高 (Very High),2026-07-14,1
80.10000000000001,1.346558452653256e-07,極高 (Very High),2026-07-14,1
80.7,2.76759358352032e-07,極高 (Very High),2026-07-14,1
81.9,9.602115237894928e-07,極高 (Very High),2026-07-14,1
82.7,1.6313137803612283e-07,極高 (Very High),2026-07-14,1
83.2,1.5224018852630404e-07,極高 (Very High),2026-07-14,1
83.5,2.4092974786531823e-07,極高 (Very High),2026-07-14,1
83.7,1.0393066481558381e-07,極高 (Very High),2026-07-14,1
84.0,6.959767924807578e-07,極高 (Very High),2026-07-14,1
84.2,4.32051761826552e-07,極高 (Very High),2026-07-14,1
84.30000000000001,1.0042863650931936e-07,極高 (Very High),2026-07-14,1
84.60000000000001,5.590930351184765e-07,極高 (Very High),2026-07-14,1
84.7,8.777292553794064e-07,極高 (Very High),2026-07-14,1
84.80000000000001,1.7697035725747478e-07,極高 (Very High),2026-07-14,1
84.9,1.7544548066383302e-07,極高 (Very High),2026-07-14,1
85.0,1.6784726612959386e-07,極高 (Very High),2026-07-14,1
85.10000000000001,1.3111033551678985e-07,極高 (Very High),2026-07-14,1
85.2,2.1404483191083674e-07,極高 (Very High),2026-07-14,1
85.30000000000001,1.0824620782836311e-07,極高 (Very High),2026-07-14,1
85.9,7.973185748801824e-07,極高 (Very High),2026-07-14,1
86.4,2.4850364426033724e-07,極高 (Very High),2026-07-14,1
86.7,4.933600933467357e-07,極高 (Very High),2026-07-14,1
87.0,1.3890297674783033e-07,極高 (Very High),2026-07-14,1
87.2,1.9148601924249186e-07,極高 (Very High),2026-07-14,1
88.0,6.935347770246987e-07,極高 (Very High),2026-07-14,1
88.2,1.0056267834474381e-07,極高 (Very High),2026-07-14,1
88.7,1.4083581067604907e-06,極高 (Very High),2026-07-14,1
88.9,4.1070299324387073e-07,極高 (Very High),2026-07-14,1
89.0,1.229203766027947e-07,極高 (Very High),2026-07-14,1
89.10000000000001,6.429434230169103e-07,極高 (Very High),2026-07-14,1
89.4,4.828001074004036e-07,極高 (Very High),2026-07-14,1
89.60000000000001,5.513304248667898e-07,極高 (Very High),2026-07-14,1
