price,weight,trust_level,data_as_of,staleness_days
67.0,2.0093103282684243e-07,極高 (Very High),2026-07-13,2
69.0,9.784558701415706e-07,極高 (Very High),2026-07-13,2
70.0,1.4976945197010623e-06,極高 (Very High),2026-07-13,2
71.0,4.49277586964257e-06,極高 (Very High),2026-07-13,2
72.0,4.022736268467873e-06,極高 (Very High),2026-07-13,2
74.0,7.714717400673767e-05,極高 (Very High),2026-07-13,2
75.0,3.2452700294595134e-06,極高 (Very High),2026-07-13,2
76.0,4.054926530239738e-06,極高 (Very High),2026-07-13,2
78.0,4.8636191611611445e-06,極高 (Very High),2026-07-13,2
79.0,5.237367700575163e-06,極高 (Very High),2026-07-13,2
80.0,3.6413712653611344e-06,極高 (Very High),2026-07-13,2
81.0,4.280164469529708e-06,極高 (Very High),2026-07-13,2
83.0,1.7916461645903005e-06,極高 (Very High),2026-07-13,2
84.0,1.1167656818541435e-06,極高 (Very High),2026-07-13,2
85.0,1.7952573591132466e-06,極高 (Very High),2026-07-13,2
86.0,2.0948355826112515e-06,極高 (Very High),2026-07-13,2
88.0,1.3400784754336417e-06,極高 (Very High),2026-07-13,2
89.0,2.1191312950356155e-06,極高 (Very High),2026-07-13,2
90.0,1.6666122337340625e-06,極高 (Very High),2026-07-13,2
92.0,1.2124448722591626e-06,極高 (Very High),2026-07-13,2
93.0,1.3060472409557559e-06,極高 (Very High),2026-07-13,2
94.0,1.6325275146367036e-06,極高 (Very High),2026-07-13,2
95.0,2.5961713520746504e-06,極高 (Very High),2026-07-13,2
97.0,1.8198960025641585e-06,極高 (Very High),2026-07-13,2
98.0,1.3078717649579126e-06,極高 (Very High),2026-07-13,2
99.0,1.2431940257367895e-06,極高 (Very High),2026-07-13,2
100.0,1.4289001659032622e-06,極高 (Very High),2026-07-13,2
102.0,2.209867890317443e-06,極高 (Very High),2026-07-13,2
103.0,9.157932080767819e-07,極高 (Very High),2026-07-13,2
104.0,8.863870055522085e-07,極高 (Very High),2026-07-13,2
106.0,1.2112231839758587e-06,極高 (Very High),2026-07-13,2
107.0,9.026419934486763e-07,極高 (Very High),2026-07-13,2
108.0,1.0003784789788843e-06,極高 (Very High),2026-07-13,2
109.0,1.573866666671654e-06,極高 (Very High),2026-07-13,2
111.0,1.7154343510978862e-06,極高 (Very High),2026-07-13,2
112.0,1.2041610311190499e-06,極高 (Very High),2026-07-13,2
113.0,1.4448223293518513e-06,極高 (Very High),2026-07-13,2
114.0,1.0668797855507463e-06,極高 (Very High),2026-07-13,2
116.0,1.137696267560016e-06,極高 (Very High),2026-07-13,2
117.0,9.723640744067487e-07,極高 (Very High),2026-07-13,2
118.0,9.501999391500541e-07,極高 (Very High),2026-07-13,2
120.0,1.5460701902282101e-06,極高 (Very High),2026-07-13,2
121.0,1.4099042264562464e-06,極高 (Very High),2026-07-13,2
122.0,1.1371082630417004e-06,極高 (Very High),2026-07-13,2
123.0,8.030701551628143e-07,極高 (Very High),2026-07-13,2
125.0,1.541939862250049e-06,極高 (Very High),2026-07-13,2
126.0,1.6663240611141669e-06,極高 (Very High),2026-07-13,2
127.0,2.4579655806777e-06,極高 (Very High),2026-07-13,2
128.0,2.163135553111084e-06,極高 (Very High),2026-07-13,2
130.0,1.8825119128400803e-06,極高 (Very High),2026-07-13,2
131.0,1.7815302158999607e-06,極高 (Very High),2026-07-13,2
132.0,2.61282994905221e-06,極高 (Very High),2026-07-13,2
134.0,2.612647876568396e-06,極高 (Very High),2026-07-13,2
135.0,2.072288660046548e-06,極高 (Very High),2026-07-13,2
136.0,1.1306266483895364e-06,極高 (Very High),2026-07-13,2
137.0,1.6997060601818927e-06,極高 (Very High),2026-07-13,2
139.0,1.5741159518210782e-06,極高 (Very High),2026-07-13,2
140.0,1.6944732847726163e-06,極高 (Very High),2026-07-13,2
141.0,1.5019593647155827e-06,極高 (Very High),2026-07-13,2
142.0,2.4179222386312138e-06,極高 (Very High),2026-07-13,2
144.0,3.603601797715477e-06,極高 (Very High),2026-07-13,2
145.0,2.988809197343375e-06,極高 (Very High),2026-07-13,2
146.0,2.175815771373468e-06,極高 (Very High),2026-07-13,2
148.0,1.7544445889540427e-06,極高 (Very High),2026-07-13,2
149.0,1.243610225029893e-06,極高 (Very High),2026-07-13,2
150.0,1.1301164778033217e-06,極高 (Very High),2026-07-13,2
151.0,1.1579639450150138e-06,極高 (Very High),2026-07-13,2
153.0,1.5244079006325357e-06,極高 (Very High),2026-07-13,2
154.0,1.1381644309925283e-06,極高 (Very High),2026-07-13,2
155.0,1.0488054357955028e-06,極高 (Very High),2026-07-13,2
156.0,1.3945848567647865e-06,極高 (Very High),2026-07-13,2
158.0,1.7219437500901913e-06,極高 (Very High),2026-07-13,2
