price,weight,trust_level,data_as_of,staleness_days
65.5,0.001659142364247533,高 (High),2026-07-14,1
66.0,0.00510220333138979,高 (High),2026-07-14,1
66.5,0.0024397203668500124,高 (High),2026-07-14,1
67.0,0.0038943276510642433,高 (High),2026-07-14,1
67.5,0.00718765480977226,高 (High),2026-07-14,1
68.0,0.013960386780714495,高 (High),2026-07-14,1
68.5,0.012274331052147501,高 (High),2026-07-14,1
69.0,0.014622193910301576,高 (High),2026-07-14,1
69.5,0.017442994328370633,高 (High),2026-07-14,1
70.0,0.02713469866079886,高 (High),2026-07-14,1
70.5,0.012020984275081512,高 (High),2026-07-14,1
71.0,0.013480151634040085,高 (High),2026-07-14,1
71.5,0.012214256163942639,高 (High),2026-07-14,1
72.0,0.01418364389215813,高 (High),2026-07-14,1
72.5,0.010423772220496282,高 (High),2026-07-14,1
73.0,0.005907557304925877,高 (High),2026-07-14,1
73.5,0.009295650548300961,高 (High),2026-07-14,1
74.0,0.011498869351702651,高 (High),2026-07-14,1
74.5,0.014318620677725831,高 (High),2026-07-14,1
75.0,0.015671004530169678,高 (High),2026-07-14,1
75.5,0.011831911749848309,高 (High),2026-07-14,1
76.0,0.007499277187442673,高 (High),2026-07-14,1
76.5,0.013938492562480184,高 (High),2026-07-14,1
77.0,0.013997526751482268,高 (High),2026-07-14,1
77.5,0.004867296964094253,高 (High),2026-07-14,1
78.0,0.009945354368854124,高 (High),2026-07-14,1
78.5,0.006424027563392039,高 (High),2026-07-14,1
79.0,0.0019051060798432485,高 (High),2026-07-14,1
79.5,0.0049072287895880855,高 (High),2026-07-14,1
80.5,0.003076849435134383,高 (High),2026-07-14,1
81.0,0.006122773880703006,高 (High),2026-07-14,1
81.5,0.002049838140951825,高 (High),2026-07-14,1
82.0,0.002873879244834998,高 (High),2026-07-14,1
82.5,0.0005435780327274458,高 (High),2026-07-14,1
83.0,0.002789153192914013,高 (High),2026-07-14,1
83.5,0.0018589523388372942,高 (High),2026-07-14,1
84.0,0.0010329949297155062,高 (High),2026-07-14,1
85.0,0.0011818263736446415,高 (High),2026-07-14,1
85.5,0.0011737861984083314,高 (High),2026-07-14,1
86.0,0.0005027222799435816,高 (High),2026-07-14,1
86.5,0.0016418370267964404,高 (High),2026-07-14,1
87.0,0.0014940624641693733,高 (High),2026-07-14,1
87.5,0.003933111885257412,高 (High),2026-07-14,1
88.0,0.0030704648294024753,高 (High),2026-07-14,1
88.5,0.00507408252979932,高 (High),2026-07-14,1
89.0,0.0038807259256574697,高 (High),2026-07-14,1
89.5,0.005808289300590819,高 (High),2026-07-14,1
90.0,0.004198096143452848,高 (High),2026-07-14,1
90.5,0.0032533259189830334,高 (High),2026-07-14,1
91.0,0.002598967797196319,高 (High),2026-07-14,1
91.5,0.00419222367930301,高 (High),2026-07-14,1
92.0,0.004785412317389162,高 (High),2026-07-14,1
92.5,0.0069000843540107226,高 (High),2026-07-14,1
93.0,0.006881221611447765,高 (High),2026-07-14,1
93.5,0.00802889246366717,高 (High),2026-07-14,1
94.0,0.006967889867129149,高 (High),2026-07-14,1
94.5,0.01084590757788845,高 (High),2026-07-14,1
95.0,0.011614656515634945,高 (High),2026-07-14,1
95.5,0.008775699471683291,高 (High),2026-07-14,1
96.0,0.009640145245901925,高 (High),2026-07-14,1
96.5,0.0035026941209384986,高 (High),2026-07-14,1
97.0,0.004176196687990933,高 (High),2026-07-14,1
97.5,0.002947505725287468,高 (High),2026-07-14,1
98.0,0.007019881894175035,高 (High),2026-07-14,1
98.5,0.0036468009685160264,高 (High),2026-07-14,1
99.0,0.001864473381806992,高 (High),2026-07-14,1
99.5,0.005313156609075253,高 (High),2026-07-14,1
100.0,0.002864599457803414,高 (High),2026-07-14,1
100.5,0.002886764129065093,高 (High),2026-07-14,1
101.0,0.004956407759855005,高 (High),2026-07-14,1
101.5,0.004241421608790836,高 (High),2026-07-14,1
102.0,0.002638914540276197,高 (High),2026-07-14,1
102.5,0.006033267353049557,高 (High),2026-07-14,1
