price,weight,trust_level,data_as_of,staleness_days
105.0,0.0008913047874477909,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
111.0,0.000886848245880198,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
112.0,0.0001032196428490472,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
112.5,0.0008913747109500012,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
113.0,0.0001432379750808909,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
113.5,7.74953546411866e-05,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
114.0,0.0005018836722080274,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
114.5,0.00029922323111236643,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
115.0,0.001361682581820668,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
115.5,0.00247573372804112,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
116.0,0.0013585399256849616,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
116.5,0.0019197876139529638,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
117.0,0.0029780510530488646,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
117.5,0.002493017315906883,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
118.0,0.0013792355011299031,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
118.5,0.0022402285602605154,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
119.0,0.0024359188561086415,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
119.5,0.003859644811069052,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
120.0,0.0028709253317609354,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
120.5,0.002253992894214468,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
121.0,0.000492125645576292,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
121.5,0.0010608118490313145,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
122.0,0.0019002848941129368,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
122.5,0.000446361997609936,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
123.0,1.932148288568511e-05,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
123.5,0.001893765481285248,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
124.0,0.0012752319322696247,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
125.0,0.0022798897017635654,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
125.5,0.00316361902720706,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
126.0,0.01606222159311781,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
126.5,0.007101364739810607,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
127.0,0.010563313857468837,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
127.5,0.02145307868802545,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
128.0,0.011372325181998384,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
128.5,0.00968416032784821,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
129.0,0.00897992588372245,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
129.5,0.010089234360054142,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
130.0,0.014062145312002637,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
130.5,0.00957356384730525,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
131.0,0.015794425942931144,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
131.5,0.00387966733818935,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
132.0,0.0100285710952958,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
132.5,0.010281585028917762,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
133.0,0.013451656084185212,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
133.5,0.020183196814064407,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
134.0,0.024239043740471044,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
134.5,0.03409716413685139,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
135.0,0.035884977548950446,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
135.5,0.01648318868584862,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
136.0,0.020287836381634384,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
136.5,0.01968338440489543,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
137.0,0.019878977254203175,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
137.5,0.025379138921221733,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
138.0,0.015767262987870515,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
138.5,0.012269207716481738,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
139.0,0.02033776147068362,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
139.5,0.012092891627931006,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
140.0,0.01516869921429901,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
140.5,0.01523553277728296,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
141.0,0.007877338334579357,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
141.5,0.008201705202363034,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
142.0,0.020958335103585482,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
142.5,0.006265009376606435,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
143.0,0.011115854936830108,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
143.5,0.017554325072398916,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
144.0,0.008666463482214724,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
144.5,0.006422312262710765,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
145.0,0.0031380332354197186,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
145.5,0.004080174727705743,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
146.0,0.0045204889673233,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
146.5,0.0021425145581611387,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
147.0,0.002000736696019393,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
147.5,0.004204313263753802,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
148.0,0.02541223052183482,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
148.5,0.00019191691697539127,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
149.0,0.005597923025981036,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
149.5,0.005367272626713286,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
150.0,0.0029429317486407607,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
150.5,0.00014989594501181228,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
151.0,0.00017097397670869728,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
151.5,0.0002300953402904715,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
152.0,7.725436677192868e-05,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
152.5,0.002649952490408555,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
153.0,0.0002793633570533652,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
153.5,7.248848447299158e-05,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
154.5,7.94855428691689e-05,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
155.0,0.0029361048393535738,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
155.5,0.002313431617031274,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
156.0,0.00016960090976769976,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
157.0,0.008013092187082519,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
157.5,0.010776424854868467,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
158.0,0.024681137110651875,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
158.5,0.028236618516999722,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
159.0,0.02293126522122628,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
159.5,0.035595288929094665,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
160.0,0.014475346298163858,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
160.5,0.05979737495968613,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
161.0,0.033511519673956235,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
161.5,0.014585677143182867,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
162.0,2.675970006646877e-05,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
162.5,0.025402397871604285,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
163.5,0.013855196631645084,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
164.0,0.003867351034929018,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
165.5,0.004486058494583294,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
166.0,0.018887209155597662,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
167.0,5.650256583858963e-05,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
169.0,0.0017079919527936411,極低 (Very Low) - 新上市歷史過短,2026-07-14,1
