price,weight,trust_level,data_as_of,staleness_days
46.0,8.081239539037517e-06,極高 (Very High),2026-07-14,1
47.0,2.9203615368742394e-05,極高 (Very High),2026-07-14,1
48.0,5.032599119844736e-05,極高 (Very High),2026-07-14,1
50.0,7.595160965102068e-05,極高 (Very High),2026-07-14,1
51.0,0.00010065635735251869,極高 (Very High),2026-07-14,1
52.0,0.00012560854983370524,極高 (Very High),2026-07-14,1
53.0,6.272843563633605e-05,極高 (Very High),2026-07-14,1
54.0,4.8587219692922926e-05,極高 (Very High),2026-07-14,1
55.0,4.674591894377225e-05,極高 (Very High),2026-07-14,1
56.0,3.743344471966158e-05,極高 (Very High),2026-07-14,1
57.0,1.3524027970282785e-05,極高 (Very High),2026-07-14,1
58.0,2.5311962022407356e-05,極高 (Very High),2026-07-14,1
59.0,8.807592789929276e-05,極高 (Very High),2026-07-14,1
60.0,5.1986384917436913e-05,極高 (Very High),2026-07-14,1
61.0,7.59205661393393e-05,極高 (Very High),2026-07-14,1
62.0,0.00011710102206836138,極高 (Very High),2026-07-14,1
64.0,6.407265013590998e-05,極高 (Very High),2026-07-14,1
65.0,2.908239377312094e-05,極高 (Very High),2026-07-14,1
66.0,2.8466857393837594e-05,極高 (Very High),2026-07-14,1
67.0,5.10391589375405e-05,極高 (Very High),2026-07-14,1
68.0,0.00010788379076949723,極高 (Very High),2026-07-14,1
69.0,0.00017217214015393927,極高 (Very High),2026-07-14,1
70.0,0.00020815926339676541,極高 (Very High),2026-07-14,1
71.0,0.00014193741136395925,極高 (Very High),2026-07-14,1
72.0,9.183974464728352e-05,極高 (Very High),2026-07-14,1
73.0,1.600705297906633e-05,極高 (Very High),2026-07-14,1
74.0,1.8793491124654133e-05,極高 (Very High),2026-07-14,1
75.0,2.15799292702422e-05,極高 (Very High),2026-07-14,1
76.0,1.941798117810892e-05,極高 (Very High),2026-07-14,1
78.0,2.0394695681357507e-05,極高 (Very High),2026-07-14,1
79.0,5.6167148535056656e-05,極高 (Very High),2026-07-14,1
80.0,8.764899488174758e-05,極高 (Very High),2026-07-14,1
81.0,0.00012172564313124637,極高 (Very High),2026-07-14,1
82.0,0.025300042148667972,極高 (Very High),2026-07-14,1
83.0,2.615758396908691e-05,極高 (Very High),2026-07-14,1
84.0,2.6217984987650352e-05,極高 (Very High),2026-07-14,1
85.0,2.8135067122595094e-05,極高 (Very High),2026-07-14,1
86.0,5.6653902093764205e-05,極高 (Very High),2026-07-14,1
87.0,5.6891860858089235e-05,極高 (Very High),2026-07-14,1
88.0,7.968564068228658e-05,極高 (Very High),2026-07-14,1
89.0,9.973009001053395e-05,極高 (Very High),2026-07-14,1
90.0,6.840223125632618e-05,極高 (Very High),2026-07-14,1
92.0,6.812568507673265e-05,極高 (Very High),2026-07-14,1
93.0,4.350669444713815e-05,極高 (Very High),2026-07-14,1
94.0,8.849666147851957e-05,極高 (Very High),2026-07-14,1
95.0,3.565480084929278e-05,極高 (Very High),2026-07-14,1
96.0,4.343656506202628e-05,極高 (Very High),2026-07-14,1
97.0,3.5097395085172266e-05,極高 (Very High),2026-07-14,1
98.0,1.830319720072934e-05,極高 (Very High),2026-07-14,1
99.0,2.1208458960824153e-05,極高 (Very High),2026-07-14,1
100.0,1.5215309585917914e-05,極高 (Very High),2026-07-14,1
101.0,5.543088973398537e-06,極高 (Very High),2026-07-14,1
103.0,1.2425046278811975e-05,極高 (Very High),2026-07-14,1
104.0,2.9694031508158262e-05,極高 (Very High),2026-07-14,1
106.0,4.696301673750415e-05,極高 (Very High),2026-07-14,1
107.0,7.272535616176434e-05,極高 (Very High),2026-07-14,1
108.0,0.0004971800898279774,極高 (Very High),2026-07-14,1
109.0,0.0009316982424087472,極高 (Very High),2026-07-14,1
110.0,7.138813280403693e-05,極高 (Very High),2026-07-14,1
111.0,1.3355018999593394e-05,極高 (Very High),2026-07-14,1
112.0,5.291654512179532e-06,極高 (Very High),2026-07-14,1
113.0,9.39119268710144e-07,極高 (Very High),2026-07-14,1
410.0,5.108442699608245e-05,極高 (Very High),2026-07-14,1
411.0,0.00011519970040051897,極高 (Very High),2026-07-14,1
412.0,0.00016852592389136287,極高 (Very High),2026-07-14,1
413.0,0.00038993502344755813,極高 (Very High),2026-07-14,1
414.0,9.224990199471861e-05,極高 (Very High),2026-07-14,1
415.0,0.0008078752814781717,極高 (Very High),2026-07-14,1
417.0,0.0007867845278324,極高 (Very High),2026-07-14,1
418.0,0.0003995767043149283,極高 (Very High),2026-07-14,1
419.0,0.0021347808358899035,極高 (Very High),2026-07-14,1
420.0,0.0002020823936491006,極高 (Very High),2026-07-14,1
421.0,0.00011527864760660478,極高 (Very High),2026-07-14,1
422.0,0.0011056940684241502,極高 (Very High),2026-07-14,1
423.0,0.0008514765108330754,極高 (Very High),2026-07-14,1
424.0,0.0010875387647950215,極高 (Very High),2026-07-14,1
425.0,0.0008695375730567509,極高 (Very High),2026-07-14,1
426.0,0.0012152769531863525,極高 (Very High),2026-07-14,1
427.0,0.0007131624914835821,極高 (Very High),2026-07-14,1
428.0,0.0005883593011238263,極高 (Very High),2026-07-14,1
429.0,0.00011561067386750243,極高 (Very High),2026-07-14,1
430.0,0.0005658097498273471,極高 (Very High),2026-07-14,1
431.0,0.0017619491352304762,極高 (Very High),2026-07-14,1
432.0,0.0009872727039822822,極高 (Very High),2026-07-14,1
433.0,0.0006846982729493985,極高 (Very High),2026-07-14,1
434.0,0.0009184343242522962,極高 (Very High),2026-07-14,1
435.0,0.0004704424398189607,極高 (Very High),2026-07-14,1
436.0,0.002599011105493106,極高 (Very High),2026-07-14,1
437.0,0.0008899473608526164,極高 (Very High),2026-07-14,1
438.0,0.0008861139311045668,極高 (Very High),2026-07-14,1
439.0,0.001168793651003384,極高 (Very High),2026-07-14,1
440.0,0.0008235414554520536,極高 (Very High),2026-07-14,1
441.0,0.0015905873521041254,極高 (Very High),2026-07-14,1
442.0,0.0010725265247238443,極高 (Very High),2026-07-14,1
443.0,0.0008111259156754374,極高 (Very High),2026-07-14,1
444.0,0.0023867557595684897,極高 (Very High),2026-07-14,1
445.0,0.0005015419669796851,極高 (Very High),2026-07-14,1
446.0,0.0010411013074217309,極高 (Very High),2026-07-14,1
447.0,0.0018820253449932807,極高 (Very High),2026-07-14,1
448.0,0.0014474224379575264,極高 (Very High),2026-07-14,1
449.0,0.00041187421923766774,極高 (Very High),2026-07-14,1
450.0,0.0016654500601105567,極高 (Very High),2026-07-14,1
451.0,0.0009977014995828544,極高 (Very High),2026-07-14,1
452.0,0.002548628046647174,極高 (Very High),2026-07-14,1
453.0,0.0010596354881428933,極高 (Very High),2026-07-14,1
454.0,0.0017527879289477636,極高 (Very High),2026-07-14,1
455.0,0.0007863507706642195,極高 (Very High),2026-07-14,1
456.0,0.0013312068448561687,極高 (Very High),2026-07-14,1
457.0,0.0013471307520065978,極高 (Very High),2026-07-14,1
458.0,0.001218595054544794,極高 (Very High),2026-07-14,1
459.0,0.0007122818624510949,極高 (Very High),2026-07-14,1
460.0,0.0015682746501078637,極高 (Very High),2026-07-14,1
461.0,0.0008140762944721717,極高 (Very High),2026-07-14,1
462.0,0.002230838396175328,極高 (Very High),2026-07-14,1
463.0,0.0008681715957036222,極高 (Very High),2026-07-14,1
464.0,0.001774540697542881,極高 (Very High),2026-07-14,1
465.0,0.002079714883658889,極高 (Very High),2026-07-14,1
466.0,0.0013284774584256713,極高 (Very High),2026-07-14,1
467.0,0.0016923992391574103,極高 (Very High),2026-07-14,1
468.0,0.0013312189249905398,極高 (Very High),2026-07-14,1
469.0,0.0003165687023594369,極高 (Very High),2026-07-14,1
470.0,0.0009110221086009333,極高 (Very High),2026-07-14,1
471.0,0.00024290593016068575,極高 (Very High),2026-07-14,1
472.0,0.0014602493873764717,極高 (Very High),2026-07-14,1
473.0,0.001030277147146015,極高 (Very High),2026-07-14,1
474.0,0.0008874921451843122,極高 (Very High),2026-07-14,1
475.0,0.0009221894760388436,極高 (Very High),2026-07-14,1
