price,weight,trust_level,data_as_of,staleness_days
37.0,1.0779295131588965e-05,極高 (Very High),2026-07-14,1
38.0,1.3689220485301568e-07,極高 (Very High),2026-07-14,1
39.0,2.929279561711034e-07,極高 (Very High),2026-07-14,1
40.0,3.06328262891962e-07,極高 (Very High),2026-07-14,1
41.0,1.3029191506457628e-07,極高 (Very High),2026-07-14,1
43.0,1.3655265049936858e-07,極高 (Very High),2026-07-14,1
45.0,3.603941547636079e-07,極高 (Very High),2026-07-14,1
46.0,7.89560608786867e-07,極高 (Very High),2026-07-14,1
47.0,6.839861307250967e-07,極高 (Very High),2026-07-14,1
48.0,8.405092158667768e-07,極高 (Very High),2026-07-14,1
49.0,8.605287403581641e-07,極高 (Very High),2026-07-14,1
50.0,5.927455521349857e-07,極高 (Very High),2026-07-14,1
51.0,4.6530441604236493e-07,極高 (Very High),2026-07-14,1
52.0,6.363704124164642e-07,極高 (Very High),2026-07-14,1
53.0,6.121217912101978e-07,極高 (Very High),2026-07-14,1
54.0,7.354971561379135e-07,極高 (Very High),2026-07-14,1
55.0,8.828609238005578e-07,極高 (Very High),2026-07-14,1
56.0,1.0673493489450334e-06,極高 (Very High),2026-07-14,1
57.0,8.142849441980837e-07,極高 (Very High),2026-07-14,1
58.0,7.724697525313016e-07,極高 (Very High),2026-07-14,1
59.0,6.5718281423354e-07,極高 (Very High),2026-07-14,1
61.0,5.563898353344736e-07,極高 (Very High),2026-07-14,1
62.0,5.673056071861802e-07,極高 (Very High),2026-07-14,1
63.0,6.611069546255275e-07,極高 (Very High),2026-07-14,1
64.0,1.0209490774607418e-06,極高 (Very High),2026-07-14,1
65.0,1.1590752807510181e-06,極高 (Very High),2026-07-14,1
66.0,9.938011549159413e-07,極高 (Very High),2026-07-14,1
67.0,1.2000703368480137e-06,極高 (Very High),2026-07-14,1
68.0,1.3581658489882915e-06,極高 (Very High),2026-07-14,1
69.0,1.0788628259053157e-06,極高 (Very High),2026-07-14,1
70.0,8.404465306090616e-07,極高 (Very High),2026-07-14,1
71.0,6.484633916687579e-07,極高 (Very High),2026-07-14,1
72.0,4.316272931354589e-07,極高 (Very High),2026-07-14,1
73.0,3.5291627750845483e-07,極高 (Very High),2026-07-14,1
74.0,3.428359945772145e-07,極高 (Very High),2026-07-14,1
75.0,3.135327640092494e-07,極高 (Very High),2026-07-14,1
76.0,1.3474565265230096e-07,極高 (Very High),2026-07-14,1
79.0,1.308819954986749e-07,極高 (Very High),2026-07-14,1
80.0,2.180471296855658e-07,極高 (Very High),2026-07-14,1
81.0,2.336515789414459e-07,極高 (Very High),2026-07-14,1
82.0,3.495076338993677e-07,極高 (Very High),2026-07-14,1
84.0,6.518694509805444e-07,極高 (Very High),2026-07-14,1
85.0,7.159829040126533e-07,極高 (Very High),2026-07-14,1
86.0,6.71134343268304e-07,極高 (Very High),2026-07-14,1
87.0,4.1882741055716004e-07,極高 (Very High),2026-07-14,1
88.0,3.0440991316623955e-07,極高 (Very High),2026-07-14,1
89.0,2.810154467527589e-07,極高 (Very High),2026-07-14,1
90.0,2.1653323173693136e-07,極高 (Very High),2026-07-14,1
91.0,2.972361592595949e-07,極高 (Very High),2026-07-14,1
92.0,3.039334937658726e-07,極高 (Very High),2026-07-14,1
93.0,3.238816732514124e-07,極高 (Very High),2026-07-14,1
94.0,4.1371194900771366e-07,極高 (Very High),2026-07-14,1
95.0,4.803929780029813e-07,極高 (Very High),2026-07-14,1
96.0,7.147298007652539e-07,極高 (Very High),2026-07-14,1
97.0,9.011460159267394e-07,極高 (Very High),2026-07-14,1
98.0,6.638706085660827e-07,極高 (Very High),2026-07-14,1
99.0,7.227853956820563e-07,極高 (Very High),2026-07-14,1
100.0,7.187085547281213e-07,極高 (Very High),2026-07-14,1
101.0,6.804680033116168e-07,極高 (Very High),2026-07-14,1
102.0,7.429934738004964e-07,極高 (Very High),2026-07-14,1
103.0,5.045989224426425e-07,極高 (Very High),2026-07-14,1
104.0,4.516308667579669e-07,極高 (Very High),2026-07-14,1
105.0,4.4113187205493956e-07,極高 (Very High),2026-07-14,1
106.0,4.2488921241049127e-07,極高 (Very High),2026-07-14,1
108.0,5.228756592587358e-07,極高 (Very High),2026-07-14,1
109.0,6.314915459237966e-07,極高 (Very High),2026-07-14,1
110.0,5.857387731909894e-07,極高 (Very High),2026-07-14,1
111.0,5.654774089957831e-07,極高 (Very High),2026-07-14,1
112.0,5.293972688638791e-07,極高 (Very High),2026-07-14,1
113.0,4.665768091293706e-07,極高 (Very High),2026-07-14,1
114.0,4.667885703564587e-07,極高 (Very High),2026-07-14,1
115.0,5.313468076756767e-07,極高 (Very High),2026-07-14,1
116.0,6.917090577011653e-07,極高 (Very High),2026-07-14,1
117.0,7.205893251085586e-07,極高 (Very High),2026-07-14,1
118.0,5.649438778798651e-07,極高 (Very High),2026-07-14,1
119.0,6.323767242859023e-07,極高 (Very High),2026-07-14,1
120.0,7.026599447785711e-07,極高 (Very High),2026-07-14,1
121.0,7.993253962006683e-07,極高 (Very High),2026-07-14,1
122.0,7.748193288525128e-07,極高 (Very High),2026-07-14,1
123.0,7.118850691797413e-07,極高 (Very High),2026-07-14,1
124.0,6.944312176629338e-07,極高 (Very High),2026-07-14,1
125.0,6.836343771263083e-07,極高 (Very High),2026-07-14,1
126.0,6.13527732525031e-07,極高 (Very High),2026-07-14,1
127.0,5.021195655874698e-07,極高 (Very High),2026-07-14,1
128.0,5.084796229744853e-07,極高 (Very High),2026-07-14,1
129.0,6.565078028350261e-07,極高 (Very High),2026-07-14,1
130.0,4.5894783450690474e-07,極高 (Very High),2026-07-14,1
132.0,3.432650916389417e-07,極高 (Very High),2026-07-14,1
133.0,2.795954684200693e-07,極高 (Very High),2026-07-14,1
134.0,2.2365562439761835e-07,極高 (Very High),2026-07-14,1
135.0,2.681086721098304e-07,極高 (Very High),2026-07-14,1
136.0,3.188246890490032e-07,極高 (Very High),2026-07-14,1
137.0,3.613664477792016e-07,極高 (Very High),2026-07-14,1
138.0,3.9019360482247225e-07,極高 (Very High),2026-07-14,1
139.0,3.305768450732517e-07,極高 (Very High),2026-07-14,1
140.0,2.428475019282446e-07,極高 (Very High),2026-07-14,1
141.0,2.1530011689163566e-07,極高 (Very High),2026-07-14,1
142.0,1.942545846075692e-07,極高 (Very High),2026-07-14,1
143.0,2.770411576984112e-07,極高 (Very High),2026-07-14,1
144.0,4.438414183513083e-07,極高 (Very High),2026-07-14,1
145.0,6.373773174545658e-07,極高 (Very High),2026-07-14,1
146.0,6.268436079588793e-07,極高 (Very High),2026-07-14,1
147.0,5.453213164281779e-07,極高 (Very High),2026-07-14,1
148.0,5.525418568872637e-07,極高 (Very High),2026-07-14,1
149.0,5.388494096921541e-07,極高 (Very High),2026-07-14,1
150.0,4.980558365865414e-07,極高 (Very High),2026-07-14,1
151.0,4.3143503039344074e-07,極高 (Very High),2026-07-14,1
152.0,3.960179459269403e-07,極高 (Very High),2026-07-14,1
153.0,3.495347056810896e-07,極高 (Very High),2026-07-14,1
154.0,3.381522422919583e-07,極高 (Very High),2026-07-14,1
156.0,3.325277879546049e-07,極高 (Very High),2026-07-14,1
157.0,4.489165427893876e-07,極高 (Very High),2026-07-14,1
158.0,6.320203102925683e-07,極高 (Very High),2026-07-14,1
159.0,6.317671780874499e-07,極高 (Very High),2026-07-14,1
160.0,6.139604897090211e-07,極高 (Very High),2026-07-14,1
161.0,7.436043639186532e-07,極高 (Very High),2026-07-14,1
162.0,9.00991901105272e-07,極高 (Very High),2026-07-14,1
163.0,9.290276981699217e-07,極高 (Very High),2026-07-14,1
164.0,9.100270214009742e-07,極高 (Very High),2026-07-14,1
165.0,8.873489166946978e-07,極高 (Very High),2026-07-14,1
166.0,7.710396621218575e-07,極高 (Very High),2026-07-14,1
167.0,6.978482979808219e-07,極高 (Very High),2026-07-14,1
168.0,5.757198738631971e-07,極高 (Very High),2026-07-14,1
169.0,4.770567859982894e-07,極高 (Very High),2026-07-14,1
170.0,5.020224954871727e-07,極高 (Very High),2026-07-14,1
171.0,7.270043592869928e-07,極高 (Very High),2026-07-14,1
172.0,8.141816218402177e-07,極高 (Very High),2026-07-14,1
173.0,7.963149965941661e-07,極高 (Very High),2026-07-14,1
174.0,8.178915069772423e-07,極高 (Very High),2026-07-14,1
175.0,7.891789611369058e-07,極高 (Very High),2026-07-14,1
176.0,7.218440841703578e-07,極高 (Very High),2026-07-14,1
177.0,7.148022870378299e-07,極高 (Very High),2026-07-14,1
178.0,7.004070159871894e-07,極高 (Very High),2026-07-14,1
180.0,7.971141324229476e-07,極高 (Very High),2026-07-14,1
181.0,8.788466985204864e-07,極高 (Very High),2026-07-14,1
182.0,8.714591264633421e-07,極高 (Very High),2026-07-14,1
183.0,9.410438663733929e-07,極高 (Very High),2026-07-14,1
184.0,1.0241260968934921e-06,極高 (Very High),2026-07-14,1
185.0,1.0570817496656847e-06,極高 (Very High),2026-07-14,1
186.0,7.869513029435869e-07,極高 (Very High),2026-07-14,1
187.0,6.244132016094991e-07,極高 (Very High),2026-07-14,1
188.0,7.488374034045839e-07,極高 (Very High),2026-07-14,1
189.0,8.268745061477513e-07,極高 (Very High),2026-07-14,1
190.0,9.021476306509189e-07,極高 (Very High),2026-07-14,1
191.0,9.603532795298405e-07,極高 (Very High),2026-07-14,1
192.0,9.924124505518825e-07,極高 (Very High),2026-07-14,1
193.0,1.0166257551397108e-06,極高 (Very High),2026-07-14,1
194.0,1.1609872250304795e-06,極高 (Very High),2026-07-14,1
195.0,1.2809165823139412e-06,極高 (Very High),2026-07-14,1
196.0,1.158606809995461e-06,極高 (Very High),2026-07-14,1
197.0,1.0474318078637074e-06,極高 (Very High),2026-07-14,1
198.0,1.0470514333301078e-06,極高 (Very High),2026-07-14,1
199.0,1.1037268677861631e-06,極高 (Very High),2026-07-14,1
200.0,1.157509134527295e-06,極高 (Very High),2026-07-14,1
201.0,1.2041291600831074e-06,極高 (Very High),2026-07-14,1
202.0,1.1087132061266531e-06,極高 (Very High),2026-07-14,1
204.0,9.775873321350517e-07,極高 (Very High),2026-07-14,1
205.0,9.72108394430421e-07,極高 (Very High),2026-07-14,1
206.0,9.440332888964832e-07,極高 (Very High),2026-07-14,1
207.0,8.436481153514799e-07,極高 (Very High),2026-07-14,1
