price,weight,trust_level,data_as_of,staleness_days
101.0,1.5042570601355638e-06,極高 (Very High),2026-07-14,1
102.0,1.799467302573424e-05,極高 (Very High),2026-07-14,1
103.0,1.5389608345315645e-05,極高 (Very High),2026-07-14,1
104.0,3.3418297190313443e-06,極高 (Very High),2026-07-14,1
105.0,7.689369204484128e-06,極高 (Very High),2026-07-14,1
106.0,1.0243728518984281e-05,極高 (Very High),2026-07-14,1
108.0,1.6542133500405126e-05,極高 (Very High),2026-07-14,1
109.0,2.289626466720031e-05,極高 (Very High),2026-07-14,1
110.0,2.6515226841219483e-05,極高 (Very High),2026-07-14,1
111.0,0.037334482334951805,極高 (Very High),2026-07-14,1
112.0,1.2247496379507877e-05,極高 (Very High),2026-07-14,1
113.0,2.4894979331206502e-05,極高 (Very High),2026-07-14,1
115.0,3.70624851820134e-05,極高 (Very High),2026-07-14,1
116.0,3.837461799547541e-05,極高 (Very High),2026-07-14,1
117.0,2.896841706206397e-05,極高 (Very High),2026-07-14,1
118.0,2.6833972863639785e-05,極高 (Very High),2026-07-14,1
119.0,2.693595922051225e-05,極高 (Very High),2026-07-14,1
120.0,2.495198109215503e-05,極高 (Very High),2026-07-14,1
122.0,2.1052227514710838e-05,極高 (Very High),2026-07-14,1
123.0,1.9803289710186576e-05,極高 (Very High),2026-07-14,1
124.0,6.498393123799615e-05,極高 (Very High),2026-07-14,1
125.0,9.978679969968348e-05,極高 (Very High),2026-07-14,1
126.0,8.106055754236022e-05,極高 (Very High),2026-07-14,1
128.0,6.663562086693541e-05,極高 (Very High),2026-07-14,1
129.0,5.014972286857e-05,極高 (Very High),2026-07-14,1
130.0,8.31927491417116e-05,極高 (Very High),2026-07-14,1
131.0,0.0001286519094849678,極高 (Very High),2026-07-14,1
132.0,0.00014108911076082624,極高 (Very High),2026-07-14,1
133.0,0.00014784255364535257,極高 (Very High),2026-07-14,1
135.0,0.0001619179801005443,極高 (Very High),2026-07-14,1
136.0,0.00020003211459682557,極高 (Very High),2026-07-14,1
137.0,0.00017371314414833195,極高 (Very High),2026-07-14,1
138.0,0.0002334870661440165,極高 (Very High),2026-07-14,1
139.0,0.00027225238964544244,極高 (Very High),2026-07-14,1
140.0,0.0002861460795227108,極高 (Very High),2026-07-14,1
142.0,0.00025381889413255337,極高 (Very High),2026-07-14,1
