price,weight,trust_level,data_as_of,staleness_days
52.0,4.3107292682259973e-07,極高 (Very High),2026-07-14,1
54.0,1.7463674874648451e-06,極高 (Very High),2026-07-14,1
57.0,1.5136276829214745e-06,極高 (Very High),2026-07-14,1
59.0,2.328693099303941e-06,極高 (Very High),2026-07-14,1
61.0,2.450851775330196e-06,極高 (Very High),2026-07-14,1
64.0,1.8862477044572856e-06,極高 (Very High),2026-07-14,1
66.0,1.8558836512907127e-06,極高 (Very High),2026-07-14,1
68.0,2.259405231767068e-06,極高 (Very High),2026-07-14,1
71.0,2.024776129309004e-06,極高 (Very High),2026-07-14,1
73.0,9.830955243964358e-07,極高 (Very High),2026-07-14,1
75.0,4.2586461442947253e-07,極高 (Very High),2026-07-14,1
78.0,4.1421511150471524e-07,極高 (Very High),2026-07-14,1
80.0,1.3355561929781103e-06,極高 (Very High),2026-07-14,1
82.0,7.006702994463705e-07,極高 (Very High),2026-07-14,1
85.0,8.913737662445168e-07,極高 (Very High),2026-07-14,1
87.0,6.348450353031107e-07,極高 (Very High),2026-07-14,1
89.0,5.670030157561954e-06,極高 (Very High),2026-07-14,1
92.0,1.1850399037787826e-07,極高 (Very High),2026-07-14,1
94.0,4.411985865757373e-07,極高 (Very High),2026-07-14,1
97.0,8.081469820856057e-07,極高 (Very High),2026-07-14,1
99.0,9.307748154330043e-07,極高 (Very High),2026-07-14,1
101.0,1.0344310694891337e-06,極高 (Very High),2026-07-14,1
104.0,6.419300963422654e-07,極高 (Very High),2026-07-14,1
106.0,2.791721470060847e-07,極高 (Very High),2026-07-14,1
113.0,2.060270683738603e-07,極高 (Very High),2026-07-14,1
115.0,4.249273946542678e-07,極高 (Very High),2026-07-14,1
118.0,1.001827487656843e-06,極高 (Very High),2026-07-14,1
120.0,1.561275952912953e-06,極高 (Very High),2026-07-14,1
122.0,5.510810765707556e-07,極高 (Very High),2026-07-14,1
125.0,1.044876908489058e-07,極高 (Very High),2026-07-14,1
127.0,1.3262623733924416e-07,極高 (Very High),2026-07-14,1
137.0,2.1695848225741416e-07,極高 (Very High),2026-07-14,1
139.0,1.9590019151738933e-07,極高 (Very High),2026-07-14,1
141.0,2.757943887525868e-07,極高 (Very High),2026-07-14,1
144.0,5.532913900179284e-07,極高 (Very High),2026-07-14,1
146.0,3.337480025213022e-07,極高 (Very High),2026-07-14,1
148.0,6.007590055728765e-07,極高 (Very High),2026-07-14,1
151.0,1.107853058191139e-06,極高 (Very High),2026-07-14,1
153.0,1.5346064892861593e-06,極高 (Very High),2026-07-14,1
155.0,1.0969459357823922e-06,極高 (Very High),2026-07-14,1
158.0,6.232548599807621e-07,極高 (Very High),2026-07-14,1
160.0,5.645325315333143e-07,極高 (Very High),2026-07-14,1
162.0,4.6071114303657315e-07,極高 (Very High),2026-07-14,1
165.0,4.777650491001508e-07,極高 (Very High),2026-07-14,1
167.0,2.164308270525382e-07,極高 (Very High),2026-07-14,1
170.0,1.348971640340547e-07,極高 (Very High),2026-07-14,1
172.0,1.7097118467926903e-07,極高 (Very High),2026-07-14,1
174.0,1.3391601540222865e-07,極高 (Very High),2026-07-14,1
179.0,2.101582745935512e-07,極高 (Very High),2026-07-14,1
181.0,4.961916151564078e-07,極高 (Very High),2026-07-14,1
