price,weight,trust_level,data_as_of,staleness_days
22.5,1.7533061043008848e-07,極高 (Very High),2026-07-14,1
92.0,0.0001713918069565786,極高 (Very High),2026-07-14,1
93.5,1.2454281990671407e-05,極高 (Very High),2026-07-14,1
96.0,3.738783841827255e-05,極高 (Very High),2026-07-14,1
96.5,4.473917837806551e-05,極高 (Very High),2026-07-14,1
97.0,1.244751752791339e-05,極高 (Very High),2026-07-14,1
97.5,1.6055896312622892e-05,極高 (Very High),2026-07-14,1
98.0,6.234901124876036e-05,極高 (Very High),2026-07-14,1
98.5,0.00017424473284386076,極高 (Very High),2026-07-14,1
99.0,4.172375307785681e-05,極高 (Very High),2026-07-14,1
99.5,5.2965900822062884e-05,極高 (Very High),2026-07-14,1
100.0,0.00014897909365903556,極高 (Very High),2026-07-14,1
100.5,8.323728115046752e-05,極高 (Very High),2026-07-14,1
101.0,0.00019064456090140268,極高 (Very High),2026-07-14,1
101.5,3.4939316288292403e-05,極高 (Very High),2026-07-14,1
102.0,6.798509710310544e-05,極高 (Very High),2026-07-14,1
102.5,5.4458335252270185e-05,極高 (Very High),2026-07-14,1
103.0,0.0001335675033552414,極高 (Very High),2026-07-14,1
103.5,0.00013093611030825375,極高 (Very High),2026-07-14,1
104.0,0.00020778952599454227,極高 (Very High),2026-07-14,1
104.5,0.0001697466213451499,極高 (Very High),2026-07-14,1
105.0,0.0001991462447471795,極高 (Very High),2026-07-14,1
105.5,0.0002845713979356877,極高 (Very High),2026-07-14,1
106.0,0.00025492695822412607,極高 (Very High),2026-07-14,1
106.5,0.0004972699084369823,極高 (Very High),2026-07-14,1
107.0,0.00036152719604735256,極高 (Very High),2026-07-14,1
107.5,0.0003919571987977649,極高 (Very High),2026-07-14,1
108.0,0.0001437684643061878,極高 (Very High),2026-07-14,1
108.5,0.0002976957457013796,極高 (Very High),2026-07-14,1
109.0,0.00011486070546389026,極高 (Very High),2026-07-14,1
109.5,0.00016101669643606416,極高 (Very High),2026-07-14,1
110.0,2.3084647985725913e-05,極高 (Very High),2026-07-14,1
110.5,1.4784478816605495e-05,極高 (Very High),2026-07-14,1
111.0,5.0722447227238505e-05,極高 (Very High),2026-07-14,1
111.5,4.723513351927797e-06,極高 (Very High),2026-07-14,1
112.0,0.00013960397479122612,極高 (Very High),2026-07-14,1
112.5,0.00012653782449449516,極高 (Very High),2026-07-14,1
113.0,0.00012061180103410386,極高 (Very High),2026-07-14,1
113.5,0.0001230823804528654,極高 (Very High),2026-07-14,1
114.0,0.0002077699538158039,極高 (Very High),2026-07-14,1
114.5,0.00021631008249535326,極高 (Very High),2026-07-14,1
115.0,0.00010341064772920405,極高 (Very High),2026-07-14,1
115.5,0.00032180502254128675,極高 (Very High),2026-07-14,1
116.0,0.00014960844976693135,極高 (Very High),2026-07-14,1
116.5,7.968393000324335e-05,極高 (Very High),2026-07-14,1
117.0,0.00018424214762007037,極高 (Very High),2026-07-14,1
117.5,0.00016424611981948498,極高 (Very High),2026-07-14,1
118.0,0.00016349489567333452,極高 (Very High),2026-07-14,1
118.5,0.00019607457224439843,極高 (Very High),2026-07-14,1
119.0,4.6637805645875446e-05,極高 (Very High),2026-07-14,1
120.0,4.916549684678536e-05,極高 (Very High),2026-07-14,1
120.5,4.6496939811520974e-05,極高 (Very High),2026-07-14,1
121.5,3.774600247687114e-05,極高 (Very High),2026-07-14,1
123.0,5.4633340058211926e-05,極高 (Very High),2026-07-14,1
127.5,0.00012066299051942433,極高 (Very High),2026-07-14,1
128.0,8.573844567588056e-05,極高 (Very High),2026-07-14,1
128.5,4.9914952109998654e-05,極高 (Very High),2026-07-14,1
129.0,0.00017482050194124783,極高 (Very High),2026-07-14,1
129.5,3.190178274652254e-05,極高 (Very High),2026-07-14,1
131.5,9.973641400136642e-07,極高 (Very High),2026-07-14,1
132.5,8.808625979119149e-05,極高 (Very High),2026-07-14,1
133.5,3.498779155949022e-05,極高 (Very High),2026-07-14,1
134.0,0.00010112426454718628,極高 (Very High),2026-07-14,1
135.0,2.941257149430867e-05,極高 (Very High),2026-07-14,1
136.0,3.5962572276279566e-05,極高 (Very High),2026-07-14,1
137.5,3.0437103175585026e-05,極高 (Very High),2026-07-14,1
138.0,5.0876629380687086e-05,極高 (Very High),2026-07-14,1
138.5,2.311576120299673e-05,極高 (Very High),2026-07-14,1
139.5,1.5789433986140306e-05,極高 (Very High),2026-07-14,1
140.0,0.0001912274163830146,極高 (Very High),2026-07-14,1
141.0,7.906556548252038e-05,極高 (Very High),2026-07-14,1
141.5,3.336982721410693e-05,極高 (Very High),2026-07-14,1
142.0,7.92788697726845e-05,極高 (Very High),2026-07-14,1
142.5,0.00027164958698119314,極高 (Very High),2026-07-14,1
143.0,0.0001231255514108098,極高 (Very High),2026-07-14,1
143.5,5.220948658086679e-05,極高 (Very High),2026-07-14,1
144.0,1.306371719526035e-05,極高 (Very High),2026-07-14,1
144.5,2.1944447217086187e-05,極高 (Very High),2026-07-14,1
145.0,0.0004941340220713348,極高 (Very High),2026-07-14,1
145.5,0.00020528554688743127,極高 (Very High),2026-07-14,1
146.0,5.990523474696818e-05,極高 (Very High),2026-07-14,1
146.5,0.0002427719680926652,極高 (Very High),2026-07-14,1
147.0,0.000219352385590514,極高 (Very High),2026-07-14,1
147.5,0.00018746518198404713,極高 (Very High),2026-07-14,1
148.0,0.0002678231632423804,極高 (Very High),2026-07-14,1
148.5,0.00015046382999536208,極高 (Very High),2026-07-14,1
149.0,0.0001485313340464249,極高 (Very High),2026-07-14,1
149.5,0.00019785961713453232,極高 (Very High),2026-07-14,1
150.0,0.00036260447594009917,極高 (Very High),2026-07-14,1
150.5,0.0005868873082122536,極高 (Very High),2026-07-14,1
151.0,0.00037451432356182187,極高 (Very High),2026-07-14,1
151.5,0.0007795397165618165,極高 (Very High),2026-07-14,1
152.0,0.0004229189120418199,極高 (Very High),2026-07-14,1
152.5,0.0007008842813469201,極高 (Very High),2026-07-14,1
153.0,8.581711791523845e-05,極高 (Very High),2026-07-14,1
153.5,0.0004102385160765585,極高 (Very High),2026-07-14,1
154.0,0.0005447546934837957,極高 (Very High),2026-07-14,1
154.5,0.0003229247704870801,極高 (Very High),2026-07-14,1
155.0,0.0003394632326009109,極高 (Very High),2026-07-14,1
155.5,8.21884639463762e-05,極高 (Very High),2026-07-14,1
156.0,0.00030540038964101,極高 (Very High),2026-07-14,1
156.5,0.0004315361838102452,極高 (Very High),2026-07-14,1
157.0,0.00010504425297636381,極高 (Very High),2026-07-14,1
