price,weight,trust_level
65.0,0.0012239388952887274,中低 (Medium-Low) - 股權鎖定重
70.0,0.048835485536087755,中低 (Medium-Low) - 股權鎖定重
75.0,0.043372915283971476,中低 (Medium-Low) - 股權鎖定重
80.0,0.06511512769515401,中低 (Medium-Low) - 股權鎖定重
85.0,0.07561373138528067,中低 (Medium-Low) - 股權鎖定重
90.0,0.036035685171329844,中低 (Medium-Low) - 股權鎖定重
95.0,0.04419752042473385,中低 (Medium-Low) - 股權鎖定重
100.0,0.11945488819290488,中低 (Medium-Low) - 股權鎖定重
105.0,0.394699473568659,中低 (Medium-Low) - 股權鎖定重
110.0,0.11851593011370133,中低 (Medium-Low) - 股權鎖定重
115.0,0.052935303732888475,中低 (Medium-Low) - 股權鎖定重
