price,weight
110.0,1.1536610394794008e-07
125.0,1.043825509976614e-07
175.0,1.1070096134096981e-07
180.0,0.0005193726525335516
190.0,0.0008115780769471348
195.0,0.0005098417722179891
205.0,0.0010324266661239443
210.0,0.003957577561936679
215.0,0.003914772885192487
220.0,0.007553553529266455
225.0,0.00995885882455598
230.0,0.0201552931824757
235.0,0.029936545929632914
240.0,0.02097172344760011
245.0,0.03828202503548187
250.0,0.022522949790006977
255.0,0.009293000769652567
260.0,0.01773145217360984
265.0,0.016660942261705655
270.0,0.013883188662174849
275.0,0.047113989259836515
280.0,0.047747916477984605
285.0,0.027015820798540008
290.0,0.00830824752838078
295.0,0.02062645229404198
300.0,0.0073295487425489286
305.0,0.01525958680286604
310.0,0.04261282308768987
315.0,0.03391205788062035
320.0,0.018721187962901335
325.0,0.05803831062286932
330.0,0.008182051886148024
335.0,0.10146083772159567
340.0,0.07332528212798428
345.0,0.0619904112539136
350.0,0.03274027689826963
355.0,0.014440630453583745
360.0,5.7265980222904955e-05
365.0,0.030778620968468142
370.0,0.019317715977348524
380.0,0.024486090906976555
385.0,0.038156195520997256
390.0,0.02608655753678969
395.0,0.02459668763869123
