stock_code,company_name,週別,統計_日期,當週股價_收盤_元,當週股價_漲跌_元,當週股價_漲跌_pct,集保庫存_萬張,持股_小於等於10張_pct,持股_大於10張小於等於50張_pct,持股_大於50張小於等於100張_pct,持股_大於100張小於等於200張_pct,持股_大於200張小於等於400張_pct,持股_大於400張小於等於800張_pct,持股_大於800張小於等於1千張_pct,持股_大於1千張_pct,各持股等級股東之持有比例_pct_Unnamed:_14_level_1,各持股等級股東之持有比例_pct_Unnamed:_15_level_1,各持股等級股東之持有比例_pct_Unnamed:_16_level_1,各持股等級股東之持有比例_pct_Unnamed:_17_level_1,各持股等級股東之持有比例_pct_Unnamed:_18_level_1,各持股等級股東之持有比例_pct_Unnamed:_19_level_1,各持股等級股東之持有比例_pct_Unnamed:_20_level_1,各持股等級股東之持有比例_pct_Unnamed:_21_level_1,各持股等級股東之持有比例_pct_Unnamed:_22_level_1,file_type,source_file,download_success,download_timestamp,process_timestamp,stage1_process_timestamp
0050,元大台灣50,26W19,05/08,97.0,6.5,7.18,1850,25.9,28.8,9.1,5.7,3.15,1.5,0.26,25.6,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W18,04/30,90.5,0.55,0.61,1843,25.8,28.7,9.07,5.67,3.1,1.47,0.25,25.9,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W17,04/24,89.95,5.8,6.89,1843,25.6,28.6,9.02,5.64,3.1,1.49,0.27,26.3,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W16,04/17,84.15,3.4,4.21,1840,25.6,28.6,9.03,5.67,3.06,1.47,0.29,26.3,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W15,04/10,80.75,6.8,9.2,1852,25.7,28.7,9,5.66,3.07,1.43,0.29,26.1,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W14,04/02,73.95,-1.05,-1.4,1840,26.3,29.2,9.13,5.71,3.04,1.44,0.3,24.9,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W13,03/27,75.0,-0.9,-1.19,1815,26.1,29,9.12,5.71,3.07,1.46,0.3,25.2,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W12,03/20,75.9,-0.05,-0.07,1792,26.1,29.1,9.15,5.75,3.11,1.47,0.31,25.1,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W11,03/13,75.95,-0.9,-1.17,1771,25.9,28.9,9.1,5.7,3.05,1.44,0.31,25.5,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W10,03/06,76.85,-4.3,-5.3,1699,25.9,29.1,9.18,5.82,3.14,1.5,0.3,25.1,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
